53 |  67 |  2
132 |  77 |  1
166 |  110 |  2
245 |  116 |  4
103 |  159 |  2
164 |  185 |  6
37 |  205 |  2
171 |  219 |  2
476 |  245 |  6
294 |  269 |  1
173 |  282 |  4
261 |  292 |  2
331 |  293 |  2
375 |  323 |  3
277 |  339 |  4
69 |  395 |  2
133 |  423 |  3
315 |  425 |  3
427 |  433 |  3
189 |  436 |  6
27 |  442 |  4
235 |  446 |  3
159 |  472 |  3
322 |  498 |  8
63 |  518 |  4
76 |  529 |  5
211 |  533 |  5
335 |  539 |  5
127 |  543 |  3
423 |  544 |  2
85 |  560 |  3
483 |  563 |  3
382 |  569 |  3
149 |  575 |  7
421 |  597 |  4
24 |  600 |  6
143 |  604 |  3
370 |  626 |  5
70 |  630 |  5
93 |  634 |  14
57 |  638 |  2
160 |  639 |  6
190 |  642 |  4
31 |  645 |  14
78 |  651 |  3
39 |  673 |  7
390 |  686 |  2
47 |  693 |  6
420 |  697 |  6
363 |  699 |  4
111 |  702 |  5
459 |  711 |  3
280 |  716 |  3
125 |  721 |  5
102 |  727 |  5
114 |  732 |  5
169 |  735 |  7
232 |  750 |  9
255 |  750 |  3
493 |  751 |  5
105 |  753 |  14
388 |  753 |  5
137 |  757 |  7
117 |  774 |  6
201 |  774 |  4
108 |  776 |  4
350 |  787 |  6
284 |  802 |  5
494 |  804 |  9
209 |  805 |  10
10 |  839 |  5
231 |  842 |  2
154 |  857 |  7
433 |  864 |  7
247 |  872 |  5
480 |  883 |  2
296 |  890 |  10
344 |  893 |  4
469 |  902 |  8
309 |  913 |  4
371 |  930 |  8
389 |  949 |  10
401 |  951 |  6
9 |  995 |  5
165 |  998 |  5
95 |  1016 |  11
426 |  1017 |  7
403 |  1031 |  5
73 |  1036 |  3
392 |  1042 |  13
152 |  1043 |  5
461 |  1050 |  5
33 |  1064 |  5
91 |  1064 |  5
413 |  1067 |  10
110 |  1072 |  4
282 |  1076 |  3
438 |  1085 |  11
321 |  1092 |  8
219 |  1093 |  6
415 |  1130 |  8
244 |  1131 |  8
366 |  1131 |  8
174 |  1135 |  3
497 |  1135 |  5
447 |  1136 |  6
487 |  1139 |  6
302 |  1142 |  9
204 |  1160 |  9
257 |  1164 |  7
267 |  1165 |  2
278 |  1165 |  5
88 |  1175 |  9
210 |  1182 |  11
256 |  1182 |  6
178 |  1204 |  12
439 |  1210 |  2
156 |  1211 |  7
434 |  1237 |  4
292 |  1242 |  5
5 |  1254 |  10
48 |  1254 |  5
89 |  1284 |  4
340 |  1297 |  7
49 |  1299 |  8
40 |  1309 |  6
258 |  1313 |  9
97 |  1321 |  7
379 |  1321 |  11
198 |  1324 |  12
203 |  1331 |  9
8 |  1337 |  6
197 |  1340 |  10
285 |  1345 |  3
265 |  1346 |  4
474 |  1349 |  5
75 |  1358 |  10
191 |  1364 |  15
151 |  1366 |  8
395 |  1370 |  8
167 |  1390 |  10
448 |  1410 |  9
193 |  1413 |  8
106 |  1421 |  6
20 |  1424 |  7
268 |  1424 |  7
283 |  1428 |  5
2 |  1464 |  9
155 |  1475 |  9
158 |  1475 |  8
94 |  1478 |  9
